@timestamp,@message,@logStream,@log
2023-10-18 17:13:30.308,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530123322b4170008e5fc02"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697649207744,977846025308:date-picker-cutters-production
2023-10-18 17:13:30.308,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530123322b4170008e5fc02""
  }
}",2023-10-18-1697649207744,977846025308:date-picker-cutters-production
2023-10-18 17:13:30.303,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-12-11T00:00:00.000Z""
  }
}",2023-10-18-1697649207744,977846025308:date-picker-cutters-production
2023-10-18 17:13:30.243,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530123322b4170008e5fc02"",
  ""metadata"": {}
}",2023-10-18-1697649207744,977846025308:date-picker-cutters-production
2023-10-18 17:13:24.380,"{
  ""level"": ""info"",
  ""message"": ""Called ShopifyGQL, adding tag history"",
  ""metadata"": {
    ""orderId"": ""6530123322b4170008e5fc02"",
    ""applyResult"": {
      ""data"": {
        ""orderTagsAdd"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206909845673""
          },
          ""userErrors"": []
        },
        ""orderTagsRemove"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206909845673""
          },
          ""userErrors"": []
        }
      },
      ""extensions"": {
        ""cost"": {
          ""requestedQueryCost"": 20,
          ""actualQueryCost"": 20,
          ""throttleStatus"": {
            ""maximumAvailable"": 10000,
            ""currentlyAvailable"": 9980,
            ""restoreRate"": 500
          }
        }
      }
    },
    ""history"": [
      ""2023/12/11"",
      ""Local Delivery Order"",
      ""Local Delivery Order"",
      ""07:00 - 21:00""
    ]
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:13:24.378,"{
  ""level"": ""info"",
  ""message"": ""GQL Request ID"",
  ""metadata"": {
    ""gqlRequestId"": ""f951b74d-3a55-4041-90ae-ec2eac3b9ec8""
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:13:24.071,"{
  ""level"": ""info"",
  ""message"": ""Calling ShopifyGQL"",
  ""metadata"": {
    ""orderId"": ""6530123322b4170008e5fc02""
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:13:24.070,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530123322b4170008e5fc02"",
    ""addTags"": [
      ""2023/12/11"",
      ""Local Delivery Order"",
      ""Local Delivery Order"",
      ""07:00 - 21:00""
    ],
    ""removeTags"": []
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:13:24.069,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530123322b4170008e5fc02""
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:13:24.053,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-12-11T00:00:00.000Z""
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
